claim_id,target_family,source_mode,model_spec,question,final_label,label_class,label_basis
normative_fmri_048,normative_fmri,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC and HCP_DISC, with replication in ABCD_REP and HCP_REP, is higher cognition associated with lower default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for age and sex within each cohort and restricting ABCD to dx=0.0?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_049,normative_fmri,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC, HCP_DISC, and UKB_DISC, with replication in ABCD_REP, HCP_REP, and UKB_REP, is higher cognition associated with higher dorsal-attention within-network connectivity (fc_fc_DorsAttn_DorsAttn_z), adjusting for age and sex within each cohort and restricting ABCD to dx=0.0?",fragile,candidate_unknown,llm_proposed
normative_fmri_050,normative_fmri,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC, HCP_DISC, HCP_Aging_DISC, and UKB_DISC, with corresponding replication cohorts, is higher age associated with cohort-dependent differences in default-mode to control-network connectivity (fc_fc_Cont_Default_z), adjusting for sex and cognition within each cohort and restricting ABCD to dx=0.0?",fragile,candidate_unknown,llm_proposed
adhd_q001,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding participants with missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with lower Default-DorsalAttention connectivity (fc_fc_Default_DorsAttn_z), with no additional covariates, and does the same direction appear in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q002,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with higher Default-Salience/VentralAttention connectivity (fc_fc_Default_SalVentAttn_z), with no additional covariates, and is this replicated in ABCD_REP?",non_replicated,candidate_unknown,llm_proposed
adhd_q003,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, do participants with ADHD (dx=1.0) show lower Control-Default connectivity (fc_fc_Cont_Default_z) than controls (dx=0.0), with no additional covariates, and is the direction consistent in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q004,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with lower Control-DorsalAttention connectivity (fc_fc_Cont_DorsAttn_z), with no additional covariates, and does ABCD_REP show the same direction?",fragile,candidate_unknown,llm_proposed
adhd_q005,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered within-Default connectivity (fc_fc_Default_Default_z), with no additional covariates, and is the association observed in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q006,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with lower within-Control connectivity (fc_fc_Cont_Cont_z), with no additional covariates, and does the same direction replicate in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q007,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, do ADHD cases (dx=1.0) differ from controls (dx=0.0) in within-DorsalAttention connectivity (fc_fc_DorsAttn_DorsAttn_z), with no additional covariates, and is the difference replicated in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q008,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with higher Salience/VentralAttention-Somatomotor connectivity (fc_fc_SalVentAttn_SomMot_z), with no additional covariates, and is the same direction seen in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q009,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered Limbic-Salience/VentralAttention connectivity (fc_fc_Limbic_SalVentAttn_z), with no additional covariates, and does the association replicate in ABCD_REP?",non_replicated,candidate_unknown,llm_proposed
adhd_q010,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, do ADHD cases (dx=1.0) show higher Visual-Somatomotor connectivity (fc_fc_SomMot_Vis_z) than controls (dx=0.0), with no additional covariates, and is the direction consistent in ABCD_REP?",fragile,candidate_unknown,llm_proposed
adhd_q011,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with lower Default-DorsalAttention connectivity (fc_fc_Default_DorsAttn_z), with no additional covariates, and does this replicate in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q012,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with higher Default-Salience/VentralAttention connectivity (fc_fc_Default_SalVentAttn_z), with no additional covariates, and is the same direction observed in ADHD200_REP?",fragile,candidate_unknown,llm_proposed
adhd_q013,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with lower Control-Default connectivity (fc_fc_Cont_Default_z), with no additional covariates, and does ADHD200_REP show the same direction?",confirmed,candidate_unknown,llm_proposed
adhd_q014,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, do participants with any ADHD diagnosis (dx in {1,2,3}) differ from controls (dx=0) in within-Control connectivity (fc_fc_Cont_Cont_z), with no additional covariates, and is the difference replicated in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q015,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered within-Default connectivity (fc_fc_Default_Default_z), with no additional covariates, and is this association seen in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q016,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with lower Control-DorsalAttention connectivity (fc_fc_Cont_DorsAttn_z), with no additional covariates, and is this direction replicated in ADHD200_REP?",non_replicated,candidate_unknown,llm_proposed
adhd_q017,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered Salience/VentralAttention-Somatomotor connectivity (fc_fc_SalVentAttn_SomMot_z), with no additional covariates, and does this replicate in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q018,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, do participants with any ADHD diagnosis (dx in {1,2,3}) show altered Limbic-Default connectivity (fc_fc_Default_Limbic_z) compared with controls (dx=0), with no additional covariates, and is the result directionally consistent in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q019,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered Visual-Default connectivity (fc_fc_Default_Vis_z), with no additional covariates, and does this association replicate in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q020,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with higher Somatomotor-Somatomotor connectivity (fc_fc_SomMot_SomMot_z), with no additional covariates, and is this direction seen in ADHD200_REP?",fragile,candidate_unknown,llm_proposed
adhd_q021,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, among diagnostic categories, does ADHD-combined type (dx=1) differ from controls (dx=0) in Control-Default connectivity (fc_fc_Cont_Default_z), with no additional covariates, and is the same contrast evaluable in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q022,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does ADHD-inattentive type (dx=2) versus control (dx=0) show lower Default-DorsalAttention connectivity (fc_fc_Default_DorsAttn_z), with no additional covariates, and does this direction replicate in ADHD200_REP?",fragile,candidate_unknown,llm_proposed
adhd_q023,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does ADHD-hyperactive/impulsive type (dx=3) versus control (dx=0) show higher Salience/VentralAttention-Somatomotor connectivity (fc_fc_SalVentAttn_SomMot_z), with no additional covariates, and is the same direction present in ADHD200_REP?",fragile,candidate_unknown,llm_proposed
adhd_q024,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does ADHD-inattentive type (dx=2) differ from ADHD-combined type (dx=1) in within-Default connectivity (fc_fc_Default_Default_z), with no additional covariates, and is the subtype contrast directionally consistent in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q025,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does ADHD-hyperactive/impulsive type (dx=3) differ from ADHD-inattentive type (dx=2) in Somatomotor-Somatomotor connectivity (fc_fc_SomMot_SomMot_z), with no additional covariates, and is the contrast replicated in ADHD200_REP?",fragile,candidate_unknown,llm_proposed
adhd_q026,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does ADHD-combined type (dx=1) versus control (dx=0) show altered Control-Salience/VentralAttention connectivity (fc_fc_Cont_SalVentAttn_z), with no additional covariates, and is the association replicated in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q028,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does ADHD-hyperactive/impulsive type (dx=3) versus control (dx=0) show altered Control-Somatomotor connectivity (fc_fc_Cont_SomMot_z), with no additional covariates, and is the same direction observed in ADHD200_REP?",confirmed,candidate_unknown,llm_proposed
adhd_q029,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered Control-Limbic connectivity (fc_fc_Cont_Limbic_z), with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q030,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered DorsalAttention-Salience/VentralAttention connectivity (fc_fc_DorsAttn_SalVentAttn_z), with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q031,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, do ADHD cases (dx=1.0) differ from controls (dx=0.0) in Limbic-Visual connectivity (fc_fc_Limbic_Vis_z), with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q032,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered within-Salience/VentralAttention connectivity (fc_fc_SalVentAttn_SalVentAttn_z), with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q033,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered DorsalAttention-Visual connectivity (fc_fc_DorsAttn_Vis_z), with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q034,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, do ADHD cases (dx=1.0) differ from controls (dx=0.0) in Default-Somatomotor connectivity (fc_fc_Default_SomMot_z), with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q035,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered Control-Visual connectivity (fc_fc_Cont_Vis_z), with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q036,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC and ABCD_REP separately, excluding missing dx, is ADHD status (dx=1.0 vs dx=0.0) associated with altered within-Visual connectivity (fc_fc_Vis_Vis_z), with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q037,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered Control-Limbic connectivity (fc_fc_Cont_Limbic_z), with no additional covariates?",confirmed,candidate_unknown,llm_proposed
adhd_q038,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered DorsalAttention-Salience/VentralAttention connectivity (fc_fc_DorsAttn_SalVentAttn_z), with no additional covariates?",confirmed,candidate_unknown,llm_proposed
adhd_q039,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered Limbic-Visual connectivity (fc_fc_Limbic_Vis_z), with no additional covariates?",confirmed,candidate_unknown,llm_proposed
adhd_q040,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered within-Salience/VentralAttention connectivity (fc_fc_SalVentAttn_SalVentAttn_z), with no additional covariates?",confirmed,candidate_unknown,llm_proposed
adhd_q041,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered DorsalAttention-Visual connectivity (fc_fc_DorsAttn_Vis_z), with no additional covariates?",confirmed,candidate_unknown,llm_proposed
adhd_q042,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered Default-Somatomotor connectivity (fc_fc_Default_SomMot_z), with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q043,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered Control-Visual connectivity (fc_fc_Cont_Vis_z), with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q044,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC and ADHD200_REP separately, is any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) associated with altered within-Visual connectivity (fc_fc_Vis_Vis_z), with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q045,adhd,llm_proposed,openai:gpt-5.5,"In ABCD_DISC, excluding missing dx, does ADHD status (dx=1.0 vs dx=0.0) relate more strongly to z-transformed Default-DorsalAttention connectivity (fc_fc_Default_DorsAttn_z) than to the corresponding untransformed measure (fc_fc_Default_DorsAttn), using no additional covariates, and is the pattern checked in ABCD_REP?",non_replicated,candidate_unknown,llm_proposed
adhd_q046,adhd,llm_proposed,openai:gpt-5.5,"In ADHD200_DISC, does any ADHD diagnosis (dx in {1,2,3}) versus control (dx=0) relate more strongly to z-transformed Control-Default connectivity (fc_fc_Cont_Default_z) than to the corresponding untransformed measure (fc_fc_Cont_Default), using no additional covariates, and is the pattern checked in ADHD200_REP?",non_replicated,candidate_unknown,llm_proposed
adhd_q047,adhd,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC and ADHD200_DISC, using each cohort's available ADHD-control coding separately (ABCD dx=1.0 vs 0.0 excluding missing dx; ADHD200 dx in {1,2,3} vs 0), is the ADHD association with Default-DorsalAttention connectivity (fc_fc_Default_DorsAttn_z) in the same direction, with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q048,adhd,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC and ADHD200_DISC, using each cohort's available ADHD-control coding separately (ABCD dx=1.0 vs 0.0 excluding missing dx; ADHD200 dx in {1,2,3} vs 0), is the ADHD association with Control-Default connectivity (fc_fc_Cont_Default_z) in the same direction, with no additional covariates?",non_replicated,candidate_unknown,llm_proposed
adhd_q049,adhd,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC and ADHD200_DISC, using each cohort's available ADHD-control coding separately (ABCD dx=1.0 vs 0.0 excluding missing dx; ADHD200 dx in {1,2,3} vs 0), is the ADHD association with Salience/VentralAttention-Somatomotor connectivity (fc_fc_SalVentAttn_SomMot_z) in the same direction, with no additional covariates?",fragile,candidate_unknown,llm_proposed
adhd_q050,adhd,llm_proposed,openai:gpt-5.5,"Across ABCD_REP and ADHD200_REP, using each cohort's available ADHD-control coding separately (ABCD dx=1.0 vs 0.0 excluding missing dx; ADHD200 dx in {1,2,3} vs 0), is the ADHD association with within-Default connectivity (fc_fc_Default_Default_z) directionally consistent, with no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q001,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_DISC, with replication assessed in ABIDE1_REP, is fc_mean_abs lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q002,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_DISC, with replication assessed in ABIDE1_REP, is fc_mean_positive lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q003,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_DISC, with replication assessed in ABIDE1_REP, is fc_within_network lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q004,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_DISC, with replication assessed in ABIDE1_REP, does fc_between_network differ between ASD and HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q005,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_HOLDOUT, is fc_mean_abs lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q006,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_HOLDOUT, is fc_mean_positive lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q007,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_HOLDOUT, is fc_within_network lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q008,asd,llm_proposed,openai:gpt-5.5,"In ABIDE1_HOLDOUT, does fc_between_network differ between ASD and HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q009,asd,llm_proposed,openai:gpt-5.5,"Across ABIDE1_DISC and ABIDE1_REP, is the ASD-minus-HC contrast more negative for fc_within_network than for fc_between_network, using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q010,asd,llm_proposed,openai:gpt-5.5,"Across ABIDE1_DISC, ABIDE1_REP, and ABIDE1_HOLDOUT, is fc_mean_abs consistently lower in ASD than HC participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q011,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Cont differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q012,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Default differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q013,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_DorsAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q014,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Limbic differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q015,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_SalVentAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q016,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_SomMot differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q017,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q018,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_Default differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q019,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_DorsAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q020,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_Limbic differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q021,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_SalVentAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q022,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_SomMot differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q023,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q024,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_DorsAttn_DorsAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q025,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_DorsAttn_Limbic differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q026,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_DorsAttn_SalVentAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q027,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_DorsAttn_SomMot differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q028,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_DorsAttn_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q029,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Limbic_Limbic differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q030,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Limbic_SalVentAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q031,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Limbic_SomMot differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q032,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Limbic_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q033,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_SalVentAttn_SalVentAttn differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q034,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_SalVentAttn_SomMot differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q035,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_SalVentAttn_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q036,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_SomMot_SomMot differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q037,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_SomMot_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q038,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Vis_Vis differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q039,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Cont_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q040,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Default_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q041,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_DorsAttn_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q042,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Limbic_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q043,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_SalVentAttn_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q044,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_SomMot_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q045,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Cont_Vis_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
asd_q046,asd,llm_proposed,openai:gpt-5.5,"In ABIDE2_DISC, with replication assessed in ABIDE2_REP, does fc_fc_Default_Default_z differ between dx=1 and dx=2 participants using dx as the predictor and no additional covariates?",fragile,candidate_unknown,llm_proposed
